"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.051568,0.0221,0.0221,0.015893,0,0,0.076615,6.9389e-18,0,0.082641,0,0,0,0.058506,0.015163,0.0221,23.584,0.031923,0.040324,3.0343e-06,0,0,0
0.0030646,0.0033056,0.035679,0.0026042,0.011485,0.0065979,0,0,0.062905,-0.02309,0,0.034309,0,0,0,0.036947,0.0013366,0.011485,10.875,0.016589,0.031775,1.0989e-06,0.04,0,0
0.0050324,0.0049918,0.024316,0.00030123,0.007385,0.0019562,0,0,0.044019,-0.018418,0,0.010172,0,0,0,0.024474,0.00014292,0.007385,4.6267,0.010667,0.021639,3.3069e-07,0.08,0,0
0.0065862,0.0059267,0.020821,-0.00054105,0.0060839,0.0009124,0,0,0.038316,-0.017225,0,0.0047445,0,0,0,0.02086,-0.00057995,0.0060839,2.4413,0.0087878,0.019005,2.1202e-07,0.12,0,0
0.0080976,0.006283,0.020624,-0.00067451,0.0059848,0.00016259,0,0,0.038061,-0.017314,0,0.00084548,0,0,0,0.020625,-0.00067575,0.0059848,0.43737,0.0086447,0.018874,2.0593e-07,0.16,0,0
0.0096311,0.0063925,0.020963,-0.00062155,0.0061024,0.00031251,0,0,0.038637,-0.017482,0,0.001625,0,0,0,0.020968,-0.00062607,0.0061024,0.82932,0.0088146,0.019138,2.1575e-07,0.2,0,0
0.011189,0.0064733,0.021242,0.00029228,0.0064602,0.00017445,0,0,0.038432,-0.016036,0,0.00090713,0,0,0,0.021243,0.00029082,0.0064602,0.47707,0.0093314,0.018649,2.1438e-07,0.24,0,0
0.012706,0.0065585,0.021009,0.00033038,0.0064017,-4.3751e-05,0,0,0.037978,-0.015785,0,-0.0002275,0,0,0,0.021009,0.00033028,0.0064017,-0.12122,0.0092469,0.01841,2.0689e-07,0.28,0,0
0.014227,0.0066024,0.021517,0.00036561,0.0065648,-0.00032838,0,0,0.038876,-0.016118,0,-0.0017076,0,0,0,0.021522,0.00036052,0.0065648,-0.88923,0.0094825,0.018842,2.2218e-07,0.32,0,0
0.015816,0.0066131,0.02298,0.00055687,0.007061,-0.00061071,0,0,0.041389,-0.016911,0,-0.0031757,0,0,0,0.022996,0.00054025,0.007061,-1.559,0.010199,0.020009,2.6896e-07,0.36,0,0
