"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.053815,0.023063,0.023063,0.014741,0,0,0.079953,3.4694e-18,0,0.076651,0,0,0,0.059739,0.017139,0.023063,21.896,0.033314,0.039968,3.0378e-06,0,0,0
0.0031981,0.003066,0.038873,0.0024485,0.012396,0.0058023,0,0,0.068839,-0.025865,0,0.030172,0,0,0,0.039775,0.0015466,0.012396,8.8358,0.017906,0.034123,1.3667e-06,0.04,0,0
0.0055071,0.0047679,0.029728,0.00083488,0.0091688,0.001638,0,0,0.053454,-0.021668,0,0.0085178,0,0,0,0.02982,0.00074231,0.0091688,3.2345,0.013244,0.025914,5.8553e-07,0.08,0,0
0.0074744,0.0060804,0.026089,-0.00032763,0.0077285,0.0008133,0,0,0.047738,-0.020946,0,0.0042292,0,0,0,0.026114,-0.00035265,0.0077285,1.7618,0.011163,0.023493,4.1005e-07,0.12,0,0
0.0093262,0.0070596,0.02497,-0.00039767,0.0073717,0.00033855,0,0,0.045755,-0.0202,0,0.0017604,0,0,0,0.024975,-0.00040219,0.0073717,0.76447,0.010648,0.02252,3.5963e-07,0.16,0,0
0.011135,0.007805,0.02465,-0.00039456,0.0072767,0.00010581,0,0,0.045171,-0.019945,0,0.00055022,0,0,0,0.024651,-0.00039501,0.0072767,0.24207,0.010511,0.022226,3.4579e-07,0.2,0,0
0.01294,0.0083712,0.024769,-0.00034207,0.0073281,-3.2048e-05,0,0,0.045347,-0.019942,0,-0.00016665,0,0,0,0.024769,-0.00034211,0.0073281,-0.073122,0.010585,0.022289,3.5001e-07,0.24,0,0
0.014763,0.0088018,0.025119,-0.00028409,0.0074504,-0.00011022,0,0,0.045938,-0.02011,0,-0.00057315,0,0,0,0.025119,-0.00028457,0.0074504,-0.24859,0.010762,0.022554,3.6413e-07,0.28,0,0
0.016615,0.009132,0.025584,-0.00022697,0.0076072,-0.0001492,0,0,0.046741,-0.020369,0,-0.00077583,0,0,0,0.025585,-0.00022783,0.0076072,-0.33117,0.010988,0.022923,3.8381e-07,0.32,0,0
0.018502,0.0093913,0.026086,-0.00017479,0.0077733,-0.00016007,0,0,0.047612,-0.020665,0,-0.00083237,0,0,0,0.026087,-0.00017577,0.0077733,-0.34923,0.011228,0.023327,4.0589e-07,0.36,0,0
0.020424,0.009604,0.026565,-0.00012933,0.0079308,-0.00015089,0,0,0.04845,-0.020956,0,-0.00078462,0,0,0,0.026566,-0.00013019,0.0079308,-0.32385,0.011456,0.023717,4.2785e-07,0.4,0,0
0.022378,0.0097897,0.026983,-9.1729e-05,0.0080673,-0.00012805,0,0,0.04918,-0.021213,0,-0.00066584,0,0,0,0.026983,-9.2335e-05,0.0080673,-0.27097,0.011653,0.024057,4.4763e-07,0.44,0,0
0.024358,0.0099632,0.027313,-6.2602e-05,0.008175,-9.6867e-05,0,0,0.049758,-0.021418,0,-0.00050371,0,0,0,0.027313,-6.2945e-05,0.008175,-0.20274,0.011808,0.024327,4.6369e-07,0.48,0,0
0.026358,0.010135,0.027542,-4.2095e-05,0.0082498,-6.1742e-05,0,0,0.050159,-0.021559,0,-0.00032106,0,0,0,0.027542,-4.2233e-05,0.0082498,-0.12825,0.011916,0.024513,4.7504e-07,0.52,0,0
0.028371,0.010312,0.027666,-2.9845e-05,0.008291,-2.6222e-05,0,0,0.050376,-0.021634,0,-0.00013635,0,0,0,0.027667,-2.987e-05,0.008291,-0.054246,0.011976,0.024614,4.813e-07,0.56,0,0
0.030388,0.010496,0.027692,-2.5027e-05,0.0083002,6.8681e-06,0,0,0.050419,-0.021646,0,3.5714e-05,0,0,0,0.027692,-2.5029e-05,0.0083002,0.014198,0.011989,0.024633,4.8255e-07,0.6,0,0
0.032405,0.010687,0.02763,-2.6468e-05,0.0082812,3.5324e-05,0,0,0.050308,-0.0216,0,0.00018368,0,0,0,0.02763,-2.6513e-05,0.0082812,0.073178,0.011962,0.02458,4.7936e-07,0.64,0,0
0.034413,0.010882,0.027498,-3.2804e-05,0.0082394,5.7506e-05,0,0,0.050071,-0.021508,0,0.00029903,0,0,0,0.027498,-3.2924e-05,0.0082394,0.11968,0.011901,0.024467,4.726e-07,0.68,0,0
