"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.053917,0.023107,0.023107,0.015222,0,0,0.080105,6.9389e-18,0,0.079154,0,0,0,0.060169,0.016855,0.023107,22.329,0.033377,0.040551,3.1519e-06,0,0,0
0.0032042,0.0031661,0.038547,0.0025462,0.012328,0.006073,0,0,0.068169,-0.025432,0,0.03158,0,0,0,0.039544,0.0015494,0.012328,9.3218,0.017807,0.033915,1.3425e-06,0.04,0,0
0.0054535,0.0049329,0.028648,0.00078923,0.0088311,0.0017981,0,0,0.051523,-0.020909,0,0.0093503,0,0,0,0.028763,0.00067365,0.0088311,3.6778,0.012756,0.025029,5.2633e-07,0.08,0,0
0.0073261,0.0062457,0.024667,-0.00043161,0.0072705,0.00087668,0,0,0.04523,-0.020026,0,0.0045587,0,0,0,0.024697,-0.0004622,0.0072705,1.9981,0.010502,0.022321,3.4871e-07,0.12,0,0
0.0090719,0.0071536,0.02353,-0.00049265,0.0069113,0.00031286,0,0,0.043209,-0.01925,0,0.0016268,0,0,0,0.023534,-0.00049672,0.0069113,0.74601,0.0099829,0.021315,3.0246e-07,0.16,0,0
0.010783,0.0077619,0.023461,-0.00044683,0.0069043,-1.5229e-06,0,0,0.043048,-0.019113,0,-7.9192e-06,0,0,0,0.023461,-0.00044683,0.0069043,-0.0036497,0.0099729,0.021211,2.9903e-07,0.2,0,0
0.012516,0.0081404,0.024058,-0.00033699,0.0071162,-0.00020692,0,0,0.044048,-0.019378,0,-0.001076,0,0,0,0.02406,-0.00033874,0.0071162,-0.48595,0.010279,0.021656,3.2087e-07,0.24,0,0
0.014307,0.0083582,0.025039,-0.00022214,0.0074451,-0.00032246,0,0,0.045745,-0.019935,0,-0.0016768,0,0,0,0.025043,-0.00022625,0.0074451,-0.73121,0.010754,0.02244,3.5998e-07,0.28,0,0
0.016175,0.0084843,0.026175,-0.00011785,0.0078172,-0.00035458,0,0,0.047731,-0.020631,0,-0.0018438,0,0,0,0.02618,-0.00012263,0.0078172,-0.77248,0.011292,0.023367,4.0938e-07,0.32,0,0
0.018125,0.0085851,0.027243,-3.0681e-05,0.0081636,-0.00030996,0,0,0.049606,-0.021305,0,-0.0016118,0,0,0,0.027246,-3.4203e-05,0.0081636,-0.65105,0.011792,0.024244,4.5979e-07,0.36,0,0
