"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.065139,0.027917,0.027917,0.018844,0,0,0.096777,3.4694e-18,0,0.097988,0,0,0,0.073013,0.020042,0.027917,22.678,0.040324,0.049505,5.7034e-06,0,0,0
0.0038711,0.0039195,0.046146,0.0031546,0.01479,0.0076154,0,0,0.081525,-0.030253,0,0.0396,0,0,0,0.047455,0.0018455,0.01479,9.7539,0.021364,0.040711,2.3211e-06,0.04,0,0
0.006522,0.006139,0.033297,0.00085585,0.010246,0.0024232,0,0,0.059934,-0.024414,0,0.012601,0,0,0,0.033477,0.00067585,0.010246,4.2482,0.0148,0.029217,8.3292e-07,0.08,0,0
0.0086658,0.007772,0.027749,-0.00072702,0.0081066,0.0013126,0,0,0.05107,-0.022967,0,0.0068255,0,0,0,0.027809,-0.0007874,0.0081066,2.6336,0.011709,0.025348,5.0262e-07,0.12,0,0
0.010608,0.0088657,0.025643,-0.00087216,0.0074312,0.00065708,0,0,0.04735,-0.021589,0,0.0034168,0,0,0,0.025659,-0.00088844,0.0074312,1.4187,0.010734,0.023519,3.9724e-07,0.16,0,0
0.012454,0.0095365,0.024748,-0.0008774,0.0071612,0.00032169,0,0,0.045726,-0.0209,0,0.0016728,0,0,0,0.024752,-0.00088143,0.0071612,0.71911,0.010344,0.022707,3.5692e-07,0.2,0,0
0.014266,0.0098567,0.024514,-0.00083152,0.0071048,0.00012228,0,0,0.045264,-0.020634,0,0.00063586,0,0,0,0.024515,-0.00083211,0.0071048,0.27642,0.010262,0.022456,3.4619e-07,0.24,0,0
0.016075,0.0098931,0.024651,-0.00071608,0.0071804,5.9208e-05,0,0,0.045423,-0.020531,0,0.00030788,0,0,0,0.024651,-0.00071622,0.0071804,0.13373,0.010372,0.022484,3.5034e-07,0.28,0,0
0.0179,0.0097153,0.024775,-0.00071402,0.0072182,2.6828e-05,0,0,0.045647,-0.020624,0,0.00013951,0,0,0,0.024775,-0.00071405,0.0072182,0.060308,0.010426,0.022592,3.5555e-07,0.32,0,0
0.019727,0.0093719,0.025358,-0.00010709,0.0075754,0.00019507,0,0,0.046236,-0.019974,0,0.0010144,0,0,0,0.02536,-0.00010858,0.0075754,0.43886,0.010942,0.022627,3.7194e-07,0.36,0,0
0.021598,0.0089613,0.025614,-8.1338e-05,0.0076597,0.00012753,0,0,0.04668,-0.020127,0,0.00066318,0,0,0,0.025614,-8.1971e-05,0.0076597,0.28437,0.011064,0.022832,3.8281e-07,0.4,0,0
