"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.055649,0.02385,0.02385,0.016412,0,0,0.082679,3.4694e-18,0,0.085342,0,0,0,0.0626,0.016899,0.02385,22.954,0.03445,0.042653,3.6312e-06,0,0,0
0.0033072,0.0034137,0.039178,0.0028002,0.012593,0.0066735,0,0,0.06912,-0.025462,0,0.034702,0,0,0,0.040363,0.0016146,0.012593,10.074,0.01819,0.034592,1.4263e-06,0.04,0,0
0.0055296,0.0053716,0.027726,0.00076989,0.0085488,0.002166,0,0,0.049861,-0.020225,0,0.011263,0,0,0,0.027899,0.00059696,0.0085488,4.5648,0.012348,0.024321,4.8141e-07,0.08,0,0
0.007296,0.0067965,0.022805,-0.00061264,0.0066578,0.0011257,0,0,0.041983,-0.018903,0,0.0058537,0,0,0,0.022859,-0.00066663,0.0066578,2.7458,0.0096168,0.020852,2.7939e-07,0.12,0,0
0.0088882,0.0077191,0.021136,-0.0007175,0.0061256,0.00046616,0,0,0.039027,-0.017792,0,0.0024241,0,0,0,0.021146,-0.00072744,0.0061256,1.2214,0.008848,0.019378,2.2229e-07,0.16,0,0
0.010418,0.0082404,0.020812,-0.00067171,0.0060421,6.7444e-05,0,0,0.038402,-0.017456,0,0.00035071,0,0,0,0.020812,-0.00067192,0.0060421,0.17986,0.0087275,0.019037,2.115e-07,0.2,0,0
0.01196,0.0084324,0.021399,-0.00053428,0.0062596,-0.00021578,0,0,0.039364,-0.017664,0,-0.0011221,0,0,0,0.021402,-0.0005364,0.0062596,-0.5636,0.0090416,0.019452,2.2836e-07,0.24,0,0
0.013567,0.0083743,0.022582,-0.00038385,0.0066594,-0.00039922,0,0,0.041398,-0.018312,0,-0.002076,0,0,0,0.022589,-0.00039079,0.0066594,-0.99559,0.0096192,0.02039,2.6643e-07,0.28,0,0
0.015272,0.0081536,0.024075,-0.00023926,0.0071507,-0.00047566,0,0,0.044003,-0.019214,0,-0.0024734,0,0,0,0.024084,-0.00024856,0.0071507,-1.1203,0.010329,0.021605,3.2061e-07,0.32,0,0
0.017087,0.0078602,0.025585,-0.00010353,0.0076444,-0.00045616,0,0,0.046645,-0.020145,0,-0.002372,0,0,0,0.025593,-0.00011163,0.0076444,-1.017,0.011042,0.022837,3.8232e-07,0.36,0,0
